year,annual_operating_costs,asset_id,asset_domain,asset_type,scenario
2055,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2056,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2057,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2058,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2059,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2060,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2061,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2062,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2063,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2064,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2065,19.88636363636364,GS020,gas_network,gas_service,hybrid_gas
2020,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2021,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2022,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2023,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2024,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2025,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2026,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2027,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2028,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2029,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2030,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2031,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
2032,25.568181818181817,GS019,gas_network,gas_service,hybrid_gas
